Id, Region, Country, TotalCases, TotalTests, ActiveCases
2083,Europe,Germany,38418899,122332384,25565
2087,Europe,Italy,25828252,272079213,126475
2088,Europe,UK,24569895,522526476,1004
2089,Europe,Russia,22900755,273400000,178807
2091,Europe,Spain,13845825,471036328,43847
2096,Europe,Netherlands,8610372,25984435,0
2100,Europe,Poland,6515598,38699972,1060073
2102,Europe,Austria,6072229,211273524,6932
2103,Europe,Greece,6025776,102228365,6199
2104,Europe,Portugal,5582987,46082209,2195
2105,Europe,Ukraine,5538357,32603805,19743
2109,Europe,Belgium,4797108,37018657,9230
2112,Europe,Czechia,4641335,57196320,1426
2115,Europe,Switzerland,4404327,23833472,4109
2118,Europe,Romania,3397365,27242332,7241
2119,Europe,Denmark,3181366,129276961,786
2121,Europe,Sweden,2708137,19500873,3245
2122,Europe,Serbia,2538899,12858629,5230
2126,Europe,Hungary,2202179,11394556,3472
2128,Europe,Slovakia,1866647,7428816,335
2131,Europe,Ireland,1711233,13083449,2300
2133,Europe,Norway,1483639,11002430,474
2134,Europe,Finland,1477021,12090288,4607
2136,Europe,Slovenia,1343626,2847701,8520
2137,Europe,Lithuania,1319481,10444610,1431
2138,Europe,Bulgaria,1306103,11209774,2129
2140,Europe,Croatia,1273508,5588632,383
2153,Europe,Belarus,994037,13646641,1327
2154,Europe,Latvia,977833,7875439,194
2165,Europe,Moldova,620419,3216305,104164
2166,Europe,Estonia,618218,3707220,90227
2175,Europe,Bosnia and Herzegovina,402890,1884721,7467
2177,Europe,North Macedonia,348215,2226216,1471
2180,Europe,Albania,334726,1941032,1696
2182,Europe,Luxembourg,319959,4587145,2037
2184,Europe,Montenegro,291820,2752880,583
2193,Europe,Iceland,209191,1996384,-1
2206,Europe,Malta,118574,2137285,588
2209,Europe,Channel Islands,101717,1252808,168
2231,Europe,Andorra,48015,249838,287
2241,Europe,Isle of Man,38008,150753,-1
2243,Europe,Faeroe Islands,34658,778000,-1
2253,Europe,San Marino,24247,196855,24
2256,Europe,Liechtenstein,21437,112457,1
2257,Europe,Gibraltar,20550,534283,3858
2266,Europe,Monaco,16760,78646,701
2306,Europe,Vatican City,29,-1,0
2313,Europe,France,40045596,271490188,85269
2314,Europe,Germany,38418899,122332384,25565
2318,Europe,Italy,25828252,272079213,126475
2319,Europe,UK,24569895,522526476,1004
2320,Europe,Russia,22900755,273400000,178807
2322,Europe,Spain,13845825,471036328,43847
2327,Europe,Netherlands,8610372,25984435,0
2331,Europe,Poland,6515598,38699972,1060073
